iter	Logloss	Recall
0	0.5133751501	0
1	0.3739080855	0
2	0.3056004657	0
3	0.2501767281	0
4	0.2129186402	0.003745318352
5	0.1793614439	0.02247191011
6	0.1541306159	0.02621722846
7	0.1357672774	0.05243445693
8	0.1202993116	0.07490636704
9	0.1118520703	0.0861423221
10	0.1031775307	0.138576779
11	0.09198789623	0.1722846442
12	0.08711731557	0.1872659176
13	0.08367454043	0.2247191011
14	0.08037975376	0.2397003745
15	0.07752759145	0.2734082397
16	0.07357367932	0.3033707865
17	0.07143205841	0.3258426966
18	0.06781069132	0.329588015
19	0.06608165427	0.3782771536
20	0.06451722014	0.3782771536
21	0.06342877564	0.3970037453
22	0.06197002288	0.4194756554
23	0.06132912422	0.4157303371
24	0.06017982109	0.4269662921
25	0.05886549884	0.4606741573
26	0.05785692539	0.4794007491
27	0.0566928411	0.4943820225
28	0.05583069846	0.4981273408
29	0.05482078257	0.5056179775
30	0.05376181589	0.5131086142
31	0.05245213991	0.5543071161
32	0.05199448197	0.5580524345
33	0.05075874514	0.5805243446
34	0.04937412253	0.6104868914
35	0.04885823381	0.6104868914
36	0.04802637054	0.6179775281
37	0.04659702402	0.6479400749
38	0.04602697716	0.6516853933
39	0.04576977795	0.6516853933
40	0.04545299135	0.65917603
41	0.04478442031	0.6666666667
42	0.04400752144	0.6741573034
43	0.04375482134	0.6853932584
44	0.04346644269	0.6741573034
45	0.04312841456	0.6816479401
46	0.04295361385	0.6816479401
47	0.04255823974	0.6891385768
48	0.04210354242	0.6966292135
49	0.04174917672	0.6928838951
50	0.04147383242	0.6966292135
51	0.0411962427	0.7041198502
52	0.04066817383	0.7116104869
53	0.04030689555	0.7191011236
54	0.04014263283	0.7303370787
55	0.03984340009	0.734082397
56	0.03939014355	0.7415730337
57	0.03920749874	0.7415730337
58	0.03902038405	0.7415730337
59	0.03878967812	0.7415730337
60	0.03860089915	0.7453183521
61	0.03847977784	0.7453183521
62	0.03807194479	0.7490636704
63	0.03778736599	0.7565543071
64	0.0376800431	0.7565543071
65	0.03757649936	0.7528089888
66	0.0366479075	0.7677902622
67	0.03649356762	0.7677902622
68	0.03631216381	0.7677902622
69	0.03564697464	0.7715355805
70	0.03556775266	0.7715355805
71	0.03526913621	0.7752808989
72	0.03460917933	0.7790262172
73	0.03443930945	0.7790262172
74	0.03419374702	0.7752808989
75	0.0339019966	0.7752808989
76	0.03383552324	0.7752808989
77	0.03363811919	0.7827715356
78	0.03334073306	0.7827715356
